collection_datetime,time_zone,ph_value,pH_label,salinity_level,nitrate_level
2/25/23 0:00,PST,8,high,0.1,0.47
2/25/23 0:15,PST,8,high,0.1,0.48
2/25/23 0:30,PST,8,high,0.1,0.48
2/25/23 0:45,PST,8,high,0.1,0.49
2/25/23 1:00,PST,8,high,0.1,0.49
2/25/23 1:15,PST,8,high,0.1,0.5
2/25/23 1:30,PST,8,high,0.1,0.49
2/25/23 1:45,PST,8,high,0.1,0.5
2/25/23 2:00,PST,8,high,0.1,0.5
2/25/23 2:15,PST,8,high,0.1,0.51
2/25/23 2:30,PST,8,high,0.1,0.51
2/25/23 2:45,PST,8,high,0.1,0.51
2/25/23 3:00,PST,8,high,0.1,0.51
2/25/23 3:15,PST,8,high,0.1,0.51
2/25/23 3:30,PST,8,high,0.1,0.51
2/25/23 3:45,PST,7.9,high,0.1,0.48
2/25/23 4:00,PST,7.9,high,0.1,0.45
2/25/23 4:15,PST,7.9,high,0.1,0.47
2/25/23 4:30,PST,7.9,high,0.1,0.47
2/25/23 4:45,PST,7.9,high,0.1,0.47
2/25/23 5:00,PST,7.9,high,0.1,0.47
2/25/23 5:15,PST,7.9,high,0.1,0.47
2/25/23 5:30,PST,7.9,high,0.1,0.47
2/25/23 5:45,PST,7.9,high,0.1,0.47
2/25/23 6:00,PST,7.9,high,0.1,0.47
2/25/23 6:15,PST,7.9,high,0.1,0.47
2/25/23 6:30,PST,7.9,high,0.1,0.47
2/25/23 6:45,PST,7.9,high,0.1,0.46
2/25/23 7:00,PST,7.9,high,0.1,0.46
2/25/23 7:15,PST,7.9,high,0.1,0.46
2/25/23 7:30,PST,7.9,high,0.1,0.46
2/25/23 7:45,PST,7.9,high,0.1,0.46
2/25/23 8:00,PST,7.9,high,0.1,0.46
2/25/23 8:15,PST,7.9,high,0.1,0.46
2/25/23 8:30,PST,7.9,high,0.1,0.46
2/25/23 8:45,PST,7.9,high,0.1,0.46
2/25/23 9:00,PST,7.9,high,0.1,0.46
2/25/23 9:15,PST,8,high,0.1,0.46
2/25/23 9:30,PST,7.9,high,0.1,0.46
2/25/23 9:45,PST,7.9,high,0.1,0.46
2/25/23 10:00,PST,7.9,high,0.1,0.46
2/25/23 10:15,PST,7.9,high,0.1,0.46
2/25/23 10:30,PST,7.9,high,0.1,0.46
2/25/23 10:45,PST,7.9,high,0.1,0.46
2/25/23 11:00,PST,7.9,high,0.1,0.46
2/25/23 11:15,PST,7.9,high,0.1,0.46
2/25/23 11:30,PST,7.9,high,0.1,0.46
2/25/23 11:45,PST,7.9,high,0.1,0.46
2/25/23 12:00,PST,7.9,high,0.1,0.46
2/25/23 12:15,PST,7.9,high,0.1,0.46
2/25/23 12:30,PST,7.9,high,0.1,0.47
2/25/23 12:45,PST,8,high,0.1,0.47
2/25/23 13:00,PST,8,high,0.1,0.47
2/25/23 13:15,PST,7.9,high,0.1,0.47
2/25/23 13:30,PST,7.9,high,0.1,0.48
2/25/23 13:45,PST,8,high,0.1,0.48
2/25/23 14:00,PST,8,high,0.1,0.48
2/25/23 14:15,PST,8,high,0.1,0.48
2/25/23 14:30,PST,8,high,0.1,0.49
2/25/23 14:45,PST,8,high,0.1,0.5
2/25/23 15:00,PST,8,high,0.1,0.49
2/25/23 15:15,PST,8,high,0.1,0.5
2/25/23 15:30,PST,8,high,0.1,0.5
2/25/23 15:45,PST,8,high,0.1,0.51
2/25/23 16:00,PST,8,high,0.1,0.51
2/25/23 16:15,PST,8,high,0.1,0.51
2/25/23 16:30,PST,8,high,0.1,0.52
2/25/23 16:45,PST,8,high,0.1,0.51
2/25/23 17:00,PST,8,high,0.1,0.51
2/25/23 17:15,PST,8,high,0.1,0.52
2/25/23 17:30,PST,8,high,0.1,0.51
2/25/23 17:45,PST,7.9,high,0.1,0.5
2/25/23 18:00,PST,7.9,high,0.1,0.5
2/25/23 18:15,PST,7.9,high,0.1,0.43
2/25/23 18:30,PST,7.9,high,0.1,0.45
2/25/23 18:45,PST,7.9,high,0.1,0.47
2/25/23 19:00,PST,7.9,high,0.1,0.47
2/25/23 19:15,PST,7.9,high,0.1,0.47
2/25/23 19:30,PST,7.9,high,0.1,0.47
2/25/23 19:45,PST,7.9,high,0.1,0.47
2/25/23 20:00,PST,7.9,high,0.1,0.47
2/25/23 20:15,PST,7.9,high,0.1,0.47
2/25/23 20:30,PST,7.9,high,0.1,0.47
2/25/23 20:45,PST,7.9,high,0.1,0.47
2/25/23 21:00,PST,7.9,high,0.1,0.48
2/25/23 21:15,PST,7.9,high,0.1,0.47
2/25/23 21:30,PST,7.9,high,0.1,0.48
2/25/23 21:45,PST,7.9,high,0.1,0.47
2/25/23 22:00,PST,7.9,high,0.1,0.47
2/25/23 22:15,PST,7.9,high,0.1,0.47
2/25/23 22:30,PST,7.9,high,0.1,0.46
2/25/23 22:45,PST,7.9,high,0.1,0.46
2/25/23 23:00,PST,7.9,high,0.1,0.46
2/25/23 23:15,PST,7.9,high,0.1,0.46
2/25/23 23:30,PST,7.9,high,0.1,0.46
2/25/23 23:45,PST,7.9,high,0.1,0.46